year,2.5%_HFC125,3%_HFC125,3% 95th Pct._HFC125,5%_HFC125,2.5%_HFC134a,3%_HFC134a,3% 95th Pct._HFC134a,5%_HFC134a,2.5%_HFC143a,3%_HFC143a,3% 95th Pct._HFC143a,5%_HFC143a,2.5%_HFC152a,3%_HFC152a,3% 95th Pct._HFC152a,5%_HFC152a,2.5%_HFC227ea,3%_HFC227ea,3% 95th Pct._HFC227ea,5%_HFC227ea,2.5%_HFC23,3%_HFC23,3% 95th Pct._HFC23,5%_HFC23,2.5%_HFC236fa,3%_HFC236fa,3% 95th Pct._HFC236fa,5%_HFC236fa,2.5%_HFC245fa,3%_HFC245fa,3% 95th Pct._HFC245fa,5%_HFC245fa,2.5%_HFC32,3%_HFC32,3% 95th Pct._HFC32,5%_HFC32,2.5%_HFC4310mee,3%_HFC4310mee,3% 95th Pct._HFC4310mee,5%_HFC4310mee
2030,365402.1423602266,275002.7963029721,728481.0123350691,116537.64477861926,150982.90879667504,117006.122415674,311118.6500870096,55054.11933643356,468312.46355583164,341341.5450789994,905693.3232150808,131261.39827111823,9295.579530429663,7383.578038707944,19631.098540988205,3873.9051937937506,335219.11988484004,250175.92840808368,661891.8933989815,103185.87095280095,1780594.5776505256,1192613.7980411605,3197841.1795843504,372772.3558980454,1168124.4162336634,785728.7738280338,2087867.6750379363,247972.27530897336,106323.76510465768,83656.25047154455,222489.88601597023,41787.00516013831,66665.2066747579,52735.18281919979,140528.42358244307,27000.773766822196,173327.62937269008,133765.11833758783,355788.0750459529,61947.05225196683
2031,373919.9943242315,282163.7808779409,748470.5463452332,120583.98519060628,155005.63263992168,120437.38510356618,320909.2320338682,57112.54380278292,478233.22187017644,349525.1846831532,927712.0230066839,135636.42859581893,9585.902398497126,7636.208129936283,20372.2754203126,4037.233848852958,342806.8139048806,256528.70200514575,679511.6544338189,106723.2139611652,1812698.086289264,1217652.3789439055,3271609.6729920213,384571.57090541796,1189329.8950906475,802305.366768358,2136403.7028641365,255826.24436111574,109426.5751398368,86333.92193329117,230330.0540662072,43460.05978441282,68704.22062281317,54500.8801978945,145708.29417669188,28120.59220037464,177841.94322617026,137606.69992914,366655.11882533215,64229.65770647023
2032,382437.8462882364,289324.7654529097,768460.0803553973,124630.32560259331,159028.35648316832,123868.64779145835,330699.8139807269,59170.96826913229,488153.98018452124,357708.8242873069,949730.722798287,140011.45892051962,9876.225266564588,7888.838221164621,21113.452299636992,4200.562503912166,350394.50792492117,262881.4756022078,697131.4154686562,110260.55696952945,1844801.5949280025,1242690.9598466503,3345378.166399692,396370.7859127905,1210535.3739476316,818881.9597086821,2184939.730690337,263680.2134132581,112529.38517501592,89011.59339503781,238170.22211644414,45133.11440868734,70743.23457086843,56266.5775765892,150888.1647709407,29240.41063392708,182356.25707965042,141448.28152069217,377522.16260471137,66512.26316097363
2033,390955.6982522413,296485.75002787844,788449.6143655615,128676.66601458035,163051.08032641493,127299.91047935051,340490.3959275855,61229.39273548165,498074.73849886603,365892.4638914607,971749.4225898901,144386.48924522032,10166.548134632052,8141.468312392961,21854.629178961382,4363.891158971373,357982.2019449617,269234.24919926986,714751.1765034937,113797.8999778937,1876905.103566741,1267729.5407493953,3419146.6598073626,408170.000920163,1231740.8528046156,835458.5526490064,2233475.7585165375,271534.18246540043,115632.19521019504,91689.26485678443,246010.3901666811,46806.16903296185,72782.2485189237,58032.27495528391,156068.0353651895,30360.22906747952,186870.5709331306,145289.86311224435,388389.20638409053,68794.86861547701
2034,399473.55021624616,303646.73460284725,808439.1483757256,132723.00642656736,167073.80416966157,130731.17316724268,350280.97787444416,63287.817201831014,507995.49681321083,374076.1034956144,993768.1223814932,148761.51956992102,10456.871002699514,8394.0984036213,22595.806058285776,4527.219814030581,365569.89596500224,275587.02279633196,732370.937538331,117335.24298625796,1909008.6122054795,1292768.12165214,3492915.1532150335,419969.21592753555,1252946.3316615997,852035.1455893305,2282011.7863427377,279388.15151754284,118735.00524537417,94366.93631853106,253850.55821691809,48479.22365723637,74821.26246697897,59797.972333978614,161247.90595943833,31480.04750103196,191384.88478661075,149131.4447037965,399256.25016346975,71077.47406998041
2035,407991.4021802511,310807.719177816,828428.6823858897,136769.3468385544,171096.5280129082,134162.43585513486,360071.55982130277,65346.24166818037,517916.25512755563,382259.7430997682,1015786.8221730964,153136.5498946217,10747.193870766978,8646.728494849638,23336.98293761017,4690.548469089788,373157.5899850428,281939.796393394,749990.6985731684,120872.5859946222,1941112.120844218,1317806.702554885,3566683.6466227043,431768.4309349081,1274151.8105185837,868611.7385296547,2330547.814168938,287242.1205696852,121837.81528055329,97044.60778027769,261690.72626715503,50152.27828151088,76860.27641503424,61563.66971267332,166427.77655368714,32599.865934584403,195899.19864009094,152973.02629534868,410123.293942849,73360.07952448381
2036,417251.7806156697,318564.5523063097,849636.6838704257,141137.1172595585,175389.9252606027,137836.69510766806,370127.2171053645,67566.62009214585,528472.557029561,390986.2803898373,1038786.0947497399,157824.77007795314,11057.86546600815,8917.25143188022,24105.851802082623,4866.255066561125,381305.4467093469,288757.9000011359,768267.6501424473,124675.87815889208,1974899.7876654342,1344277.1879900158,3642377.730225608,444342.0719444033,1296438.7823621507,886109.1884817545,2381068.457021866,295594.5499124976,125196.97837966916,99939.25105284019,269867.2218712427,51961.19985857038,79039.5801595346,63453.66609710263,171852.46356718446,33805.17446638104,200701.56673704894,157076.69043940428,421305.3099158652,75819.95868639341
2037,426512.15905108827,326321.38543480344,870844.6853549617,145504.88768056262,179683.32250829716,141510.95436020126,380182.8743894262,69786.99851611133,539028.8589315664,399712.8176799063,1061785.3673263835,162512.99026128455,11368.537061249323,9187.774368910803,24874.720666555073,5041.961664032463,389453.303433651,295576.00360887777,786544.6017117262,128479.17032316196,2008687.4544866506,1370747.6734251466,3718071.813828512,456915.71295389853,1318725.7542057177,903606.6384338542,2431589.0998747936,303946.97925530997,128556.14147878505,102833.8943254027,278043.71747533034,53770.12143562987,81218.88390403496,65343.66248153194,177277.15058068177,35010.48299817768,205503.9348340069,161180.35458345988,432487.3258888814,78279.83784830302
2038,435772.5374865069,334078.2185632971,892052.6868394976,149872.65810156672,183976.71975599165,145185.2136127345,390238.5316734879,72007.37694007682,549585.1608335717,408439.3549699754,1084784.639903027,167201.21044461598,11679.208656490497,9458.297305941385,25643.589531027526,5217.6682615038,397601.1601579551,302394.1072166197,804821.5532810051,132282.46248743183,2042475.1213078669,1397218.1588602772,3793765.8974314155,469489.3539633937,1341012.726049285,921104.088385954,2482109.7427277216,312299.4085981224,131915.30457790094,105728.5375979652,286220.21307941794,55579.04301268937,83398.18764853531,67233.65886596125,182701.83759417912,36215.79152997432,210306.3029309649,165284.01872751545,443669.3418618976,80739.71701021263
2039,445032.9159219255,341835.05169179087,913260.6883240336,154240.42852257084,188270.11700368611,148859.4728652677,400294.18895754963,74227.7553640423,560141.462735577,417165.89226004446,1107783.9124796705,171889.43062794738,11989.880251731669,9728.820242971968,26412.458395499976,5393.374858975138,405749.01688225917,309212.2108243616,823098.504850284,136085.75465170172,2076262.7881290833,1423688.644295408,3869459.9810343194,482062.99497288896,1363299.697892852,938601.5383380537,2532630.385580649,320651.8379409348,135274.4676770168,108623.1808705277,294396.7086835056,57387.964589748866,85577.49139303567,69123.65525039056,188126.52460767643,37421.10006177095,215108.6710279229,169387.68287157104,454851.3578349138,83199.59617212224
2040,454293.2943573441,349591.88482028455,934468.6898085696,158608.19894357494,192563.5142513806,152533.7321178009,410349.84624161135,76448.13378800778,570697.7646375824,425892.42955011356,1130783.185056314,176577.6508112788,12300.551846972841,9999.34318000255,27181.32725997243,5569.0814564464745,413896.87360656325,316030.3144321035,841375.4564195629,139889.04681597158,2110050.4549502996,1450159.1297305387,3945154.0646372233,494636.63598238415,1385586.6697364189,956098.9882901536,2583151.028433577,329004.2672837472,138633.6307761327,111517.82414309021,302573.20428759325,59196.88616680836,87756.79513753603,71013.65163481986,193551.21162117374,38626.40859356759,219911.0391248809,173491.34701562664,466033.37380793004,85659.47533403184
2041,463371.22865559324,357367.8658807042,955473.4005681016,163321.3484382201,196659.5731559136,156123.29542574479,419827.205860765,78783.48617641944,581211.3450383337,434775.65353349346,1155302.9206979596,181741.79855571693,12670.903879579842,10326.17628337252,28217.415061420103,5790.3831396627,421916.6926177167,322894.34117020847,858948.745422752,144016.67309629152,2144715.498711397,1477788.3480827564,4026205.523303097,508872.6898831904,1408441.6986022356,974359.58282117,2635485.7258530427,338463.00517977047,141916.8448389025,114417.25349293678,310725.59293814277,61151.1596646285,90054.03408328311,73050.35365634495,199639.69156890866,40012.78924435131,224514.09201662,177516.88322366157,476545.96177671186,88252.82605720755
2042,472449.1629538423,365143.8469411239,976478.1113276335,168034.49793286523,200755.63206044657,159712.85873368866,429304.5654799187,81118.8385648311,591724.9254390851,443658.8775168734,1179822.656339605,186905.94630015505,13041.255912186843,10653.009386742491,29253.50286286778,6011.684822878926,429936.5116288701,329758.36790831346,876522.0344259411,148144.29937661145,2179380.5424724943,1505417.566434974,4107256.9819689705,523108.7437839966,1431296.7274680522,992620.1773521864,2687820.423272508,347921.7430757938,145200.05890167234,117316.68284278335,318877.9815886923,63105.43316244864,92351.2730290302,75087.05567787003,205728.17151664358,41399.169895135026,229117.14490835913,181542.41943169653,487058.5497454937,90846.17678038328
