year,2.5%_HFC125,3%_HFC125,3% 95th Pct._HFC125,5%_HFC125,2.5%_HFC134a,3%_HFC134a,3% 95th Pct._HFC134a,5%_HFC134a,2.5%_HFC143a,3%_HFC143a,3% 95th Pct._HFC143a,5%_HFC143a,2.5%_HFC152a,3%_HFC152a,3% 95th Pct._HFC152a,5%_HFC152a,2.5%_HFC227ea,3%_HFC227ea,3% 95th Pct._HFC227ea,5%_HFC227ea,2.5%_HFC23,3%_HFC23,3% 95th Pct._HFC23,5%_HFC23,2.5%_HFC236fa,3%_HFC236fa,3% 95th Pct._HFC236fa,5%_HFC236fa,2.5%_HFC245fa,3%_HFC245fa,3% 95th Pct._HFC245fa,5%_HFC245fa,2.5%_HFC32,3%_HFC32,3% 95th Pct._HFC32,5%_HFC32,2.5%_HFC4310mee,3%_HFC4310mee,3% 95th Pct._HFC4310mee,5%_HFC4310mee
2030,44316.383189286644,34601.85287068353,126278.84348721636,16269.35031450453,18618.91747725643,14964.357320176701,54354.085121243304,7798.531288213148,56059.57003775976,42446.59639208637,155154.9210213527,18167.7081128555,1158.558077853926,955.550912820752,3391.3757257337493,555.2142787957816,40499.13250904756,31367.792209217412,114644.42092719118,14366.824713728683,212684.2901763323,147359.65227583388,562297.4553207073,51143.061898057065,139581.1084025112,97187.36727315189,364895.999966057,34082.63087148573,13221.70662072028,10795.212508192752,38789.073875764276,5974.606003513013,8298.87176802892,6816.402546480503,24348.520965640808,3870.7874839407295,21320.732527531072,17063.283946446158,62173.24159963608,8752.502798133177
2031,45305.468777226706,35463.426660461286,129797.0221452937,16808.633292917515,19103.875717840732,15390.665863027998,56170.244433537344,8079.282931042248,57193.15749685839,43419.14731513259,158941.03252980378,18747.42209514596,1196.3154161240943,989.0961539806707,3535.7700948831066,578.4995511604324,41375.15612281085,32128.680266112056,117708.94511753778,14837.04843901543,216450.77311386427,150385.85252377164,574872.0772979324,52717.80121326344,142061.20324304182,99186.92919033558,372924.3318092124,35130.9091782228,13612.506188330563,11141.270730412392,40283.65823943092,6209.475502262855,8561.313928331308,7049.059099196054,25356.110306419814,4030.162946893625,21860.67805791144,17537.18594771058,64156.91170637403,9062.089131126118
2032,46294.55436516676,36325.000450239044,133315.20080337103,17347.9162713305,19588.83395842504,15816.974405879295,57986.40374583139,8360.034573871346,58326.744955957016,44391.69823817881,162727.1440382549,19327.13607743642,1234.0727543942626,1022.6413951405893,3680.164464032464,601.7848235250831,42251.179736574144,32889.5683230067,120773.46930788436,15307.27216430218,220217.25605139625,153412.05277170936,587446.6992751574,54292.54052846981,144541.29808357247,101186.49110751926,380952.6636523677,36179.18748495987,14003.305755940844,11487.328952632033,41778.24260309758,6444.345001012698,8823.756088633698,7281.715651911605,26363.69964719882,4189.53840984652,22400.623588291804,18011.087948975,66140.58181311197,9371.675464119058
2033,47283.639953106824,37186.574240016795,136833.37946144838,17887.199249743488,20073.792199009342,16243.282948730593,59802.56305812543,8640.786216700444,59460.332415055644,45364.24916122503,166513.25554670597,19906.85005972688,1271.8300926644308,1056.1866363005079,3824.558833181821,625.0700958897338,43127.20335033743,33650.45637990134,123837.99349823095,15777.495889588927,223983.7389889282,156438.25301964712,600021.3212523825,55867.279843676195,147021.3929241031,103186.05302470295,388980.9954955231,37227.46579169693,14394.105323551128,11833.387174851674,43272.82696676422,6679.21449976254,9086.198248936089,7514.372204627157,27371.288987977823,4348.913872799415,22940.56911867217,18484.989950239422,68124.25191984994,9681.261797112
2034,48272.72554104688,38048.14802979455,140351.5581195257,18426.48222815647,20558.75043959365,16669.59149158189,61618.72237041948,8921.537859529544,60593.91987415427,46336.80008427125,170299.36705515708,20486.564042017337,1309.587430934599,1089.7318774604266,3968.953202331178,648.3553682543845,44003.22696410073,34411.34443679599,126902.51768857753,16247.719614875676,227750.2219264602,159464.45326758485,612595.9432296075,57442.01915888257,149501.48776463376,105185.61494188664,397009.3273386784,38275.744098434,14784.90489116141,12179.445397071315,44767.41133043088,6914.083998512383,9348.640409238478,7747.028757342709,28378.87832875683,4508.289335752311,23480.514649052537,18958.891951503843,70107.92202658788,9990.84813010494
2035,49261.81112898694,38909.72181957231,143869.73677760304,18965.765206569456,21043.70868017795,17095.900034433187,63434.881682713516,9202.289502358642,61727.5073332529,47309.35100731747,174085.47856360817,21066.278024307798,1347.3447692047673,1123.2771186203452,4113.347571480535,671.6406406190353,44879.25057786402,35172.23249369063,129967.04187892412,16717.943340162423,231516.70486399217,162490.6535155226,625170.5652068326,59016.75847408894,151981.58260516438,107185.17685907033,405037.6591818338,39324.02240517107,15175.704458771692,12525.503619290956,46261.995694097524,7148.953497262225,9611.082569540868,7979.685310058259,29386.467669535836,4667.664798705206,24020.460179432903,19432.793952768265,72091.59213332583,10300.434463097881
2036,50318.680060721206,39825.262831577216,147304.4536851023,19533.877623596665,21551.77886628726,17543.07331679793,65238.52425925585,9497.130572505292,62919.00399885992,48331.067122021006,177901.57004335258,21674.170850521867,1386.7144435122489,1158.2607435385708,4260.278413877364,695.9419703801184,45807.03869703178,35975.992770303536,132968.76561449474,17212.60560867418,235456.92256478372,165662.68244714348,637725.1033561458,60669.33401061102,154563.12208120085,109270.45793327165,413052.1596073891,40418.39744018767,15588.72477921129,12890.218934026063,47770.9298601363,7395.446039086207,9885.20744103846,8222.72946865387,30408.893473499098,4834.236431658036,24585.40887991765,19929.759920583623,74083.76177013844,10625.986031818707
2037,51375.54899245547,40740.80384358212,150739.17059260153,20101.990040623874,22059.849052396563,17990.246599162674,67042.16683579818,9791.971642651939,64110.50066446693,49352.78323672454,181717.661523097,22282.063676735936,1426.0841178197304,1193.2443684567966,4407.209256274193,720.2433001412014,46734.826816199544,36779.753046916434,135970.48935006536,17707.26787718594,239397.14026557526,168834.71137876433,650279.6415054589,62321.909547133095,157144.6615572373,111355.73900747296,421066.6600329444,41512.77247520427,16001.745099650889,13254.93424876117,49279.86402617507,7641.938580910189,10159.332312536051,8465.77362724948,31431.31927746236,5000.8080646108665,25150.357580402397,20426.72588839898,76075.93140695106,10951.537600539534
2038,52432.41792418973,41656.34485558703,154173.88750010074,20670.102457651086,22567.91923850587,18437.419881527414,68845.80941234052,10086.812712798588,65301.997330073944,50374.49935142809,185533.7530028414,22889.956502950005,1465.4537921272117,1228.2279933750222,4554.1400986710205,744.5446299022846,47662.6149353673,37583.51332352934,138972.21308563597,18201.930145697694,243337.35796636678,172006.7403103852,662834.179654772,63974.48508365518,159726.20103327377,113441.02008167429,429081.16045849974,42607.14751022087,16414.765420090487,13619.649563496276,50788.798192213835,7888.43112273417,10433.457184033643,8708.81778584509,32453.745081425623,5167.379697563698,25715.306280887147,20923.69185621434,78068.10104376369,11277.08916926036
2039,53489.286855923994,42571.88586759193,157608.60440759998,21238.214874678295,23075.989424615174,18884.593163892157,70649.45198888285,10381.653782945235,66493.49399568095,51396.21546613162,189349.84448258582,23497.849329164073,1504.8234664346933,1263.211618293248,4701.070941067849,768.8459596633677,48590.40305453507,38387.27360014224,141973.9368212066,18696.592414209452,247277.57566715832,175178.76924200606,675388.7178040851,65627.06062017725,162307.7405093102,115526.3011558756,437095.660884055,43701.52254523747,16827.785740530086,13984.364878231383,52297.73235825261,8134.923664558151,10707.582055531235,8951.861944440701,33476.170885388885,5333.951330516528,26280.254981371894,21420.6578240297,80060.2706805763,11602.640737981186
